JJ O3o O3p TEMPE RMH2O NO2 STATION FF
S 143 172.3 23.9 0.02753 1.996 Cad 5.4589
S 123 158.5 22.6 0.02186 2.948 Cad 5.7871
S 137 141.8 31 0.01065 2.276 Cad 7.278
F 224 157 32.2 0.01241 3.298 Cad 8.1271
F 182 175.2 32.5 0.01564 3.332 Cad 8.132
S 257 153.6 34.5 0.0104 3.863 Cad 8.5615
S 269 173.5 34.3 0.01386 4.062 Cad 8.4694
S 319 155.9 34.9 0.01142 2.87 Cad 8.3744
S 209 185.6 33.1 0.019 1.931 Cad 3.7014
S 209 174.6 30.4 0.02143 3.664 Cad 3.9395
F 175 157.8 33.1 0.01556 2.308 Cad 5.1788
F 208 141.3 33.4 0.0107 4.672 Cad 8.9694
S 185 182.1 34.9 0.01817 3.313 Cad 8.5796
S 254 211.2 36.3 0.01347 5.991 Cad 7.6968
S 296 189 35 0.01722 6.023 Cad 8.5088
S 201 203.9 34.3 0.01557 3.562 Cad 7.3926
F 168 168.5 33.6 0.01599 2.645 Cad 7.7466
F 102 161.9 32.3 0.01675 2.924 Cad 5.9682
S 137 134.1 30.2 0.01361 2.587 Cad 6.9893
S 134 120.5 32.8 0.01016 0.997 Cad 9.6338
F 141 110.3 26 0.00681 3.088 Cad 3.8079
S 114 123.8 26.2 0.00412 0.85 Cad 5.8421
S 97 90.6 22.4 0.00343 0.551 Cad 9.1417
F 108 118.9 21.3 0.0043 0.738 Cad 9.2957
S 99 112.9 21 0.00328 1.194 Cad 9.7082
S 135 127.8 18.8 0.00748 1.392 Cad 2.1024
S 118 122.2 21.5 0.00398 1.887 Cad 5.8009
S 130 131 20.6 0.00547 2.106 Cad 8.6452
F 105 85 17.3 0.01121 2.47 Cad 4.1593
F 113 111.9 19.3 0.00639 1.659 Cad 6.407
S 103 96.6 14.8 0.00983 1.327 Cad 2.6476
S 86 120.7 15.6 0.0101 0.971 Cad 6.5437
S 85 97.1 18.6 0.00718 1.269 Cad 8.7092
S 113 132.6 23.1 0.00444 2.065 Cad 6.5008
S 122 135.4 23.5 0.0062 6.268 Cad 7.4
F 127 113.4 24.9 0.00528 3.546 Cad 6.4661
F 123 129.4 22.5 0.00541 0.787 Cad 6.1847
S 93 100.3 21.9 0.0071 0.745 Cad 11.3217
S 114 124.3 24.4 0.0074 1.773 Cad 5.8215
S 201 188.4 26.5 0.01336 2.915 Cad 3.5903
S 207 217 26.6 0.01328 3.434 Cad 5.9211
S 169 150.4 27.6 0.01074 1.773 Cad 4.1183
F 183 164.1 26.5 0.01085 2.369 Cad 6.637
F 192 160.7 26.6 0.01089 2.296 Cad 7.0093
S 101 111.7 27.9 0.01428 0.946 Cad 9.5462
S 109 109.1 25.6 0.01166 1.611 Cad 3.4059
S 156 127.4 23.5 0.01279 1.429 Cad 2.7459
S 200 128.9 24.5 0.0117 0.894 Cad 2.7313
S 138 168.3 25.8 0.01003 1.773 Cad 3.3541
F 111 121 26.5 0.00417 0.964 Cad 7.4632
F 96 102.2 27.9 0.00474 0.856 Cad 9.4868
S 77 101.7 27.5 0.00566 1.009 Cad 9.6897
S 108 132.9 20.6 0.00656 3.218 Cad 7.8892
S 125 108.1 21.9 0.00477 1.628 Cad 6.5192
S 168 127.9 21 0.00494 1.539 Cad 7.506
F 135 135.9 20.9 0.00643 4.878 Cad 7.2014
F 137 128.5 23.8 0.00746 1.258 Cad 5.9464
S 137 126 25.4 0.008 0.756 Cad 7.7666
S 132 165.1 30.1 0.00804 1.27 Cad 6.5069
F 181 157.5 30.6 0.01108 1.435 Cad 6.5734
S 148 152.8 27.6 0.01221 1.097 Cad 2.2023
S 141 157.6 27.5 0.01324 1.964 Cad 3.7121
S 127 161.7 30 0.01018 2.069 Cad 4.9193
F 125 157.5 30.3 0.00847 2.922 Cad 7.2111
F 220 187.1 33 0.00793 3.844 Cad 6.9426
S 163 198.8 33.4 0.00757 9.536 Cad 7.2277
S 125 152.2 32.8 0.00821 4.81 Cad 8.9811
S 110 153 28.5 0.01098 3.088 Cad 7.3239
S 114 94.2 28.3 0.00655 0.797 Cad 10.4785
S 78 79.3 26.1 0.00473 0.702 Cad 11.3864
F 97 154.5 29.7 0.00658 2.851 Cad 6.8942
F 132 184.1 31.2 0.01022 3.083 Cad 5.1546
S 92 142.9 24.8 0.01375 3.305 Cad 6.7742
S 75 106.2 26.9 0.00844 0.99 Cad 9.8995
S 83 103 26.5 0.00561 0.889 Cad 10.139
F 111 122.2 24.4 0.00554 0.981 Cad 10.0807
F 101 128.9 24.7 0.00755 1.085 Cad 1.2369
S 123 134.4 29.9 0.00775 1.196 Cad 5.099
S 150 171.5 28.4 0.00774 2.17 Cad 7.1021
S 184 158.3 28.4 0.00881 1.122 Cad 0.6083
F 203 172.5 29.4 0.00883 2.544 Cad 6.8007
S 161 177.1 29.3 0.00831 5.405 Cad 7.209
F 170 174.1 33.8 0.00978 3.719 Cad 7.0385
F 217 221.1 35.1 0.00762 3.732 Cad 6.772
S 131 266.7 24.1 0.01355 5.625 Cad 3.2249
S 86 102.5 27.3 0.00836 1.128 Cad 9.3301
S 114 95.1 31.5 0.00481 1.029 Cad 10.0319
S 85 109.3 31.7 0.00651 1.109 Cad 10.2942
S 123 107.6 31 0.00458 0.981 Cad 10.1843
F 108 150.1 27.9 0.00484 1.635 Cad 8.1056
F 136 154.7 30 0.00811 3.482 Cad 6.7543
S 163 157.2 30 0.01076 2.81 Cad 7.0214
S 183 249.9 31.4 0.00923 4.311 Cad 7.3376
S 136 136.3 32.8 0.00985 0.822 Cad 4.7676
S 129 133.4 33.6 0.00923 0.83 Cad 5.9237
S 173 149.1 30.4 0.01098 1.421 Cad 7.1847
F 120 109.9 29.6 0.00607 0.893 Cad 8.6348
F 103 96.4 27 0.00372 0.838 Cad 10.2961
S 107 144.3 30.4 0.00496 1.819 Cad 7.0257
S 110 126.4 23.2 0.01239 1.03 Cad 2.5495
S 102 116.4 29.3 0.00713 1.353 Cad 10.7075
S 109 126.2 28.9 0.00549 1.668 Cad 10.8467
S 112 102.3 32.5 0.00481 1.507 Cad 7.0385
F 87 97.8 30.5 0.00393 0.643 Cad 10.6301
F 75 84 27.6 0.00598 0.843 Cad 10.9604
S 117 105.3 27.9 0.00285 1.536 Cad 4.2544
S 146 135.9 27.6 0.00649 3.168 Cad 6.9778
S 122 190.4 22.8 0.01417 2.995 Cad 4.2048
S 99 115 29.9 0.00515 1.109 Cad 7.0937
F 95 67.1 29 0.00468 0.583 Cad 10.3368
F 89 98.3 28.9 0.00589 1.009 Cad 9.9141
S 158 168.2 29.6 0.00478 4.514 Cad 4.8384
S 138 117.5 28 0.00843 1.293 Cad 6.7268
F 93 108.1 24.3 0.00575 0.524 Cad 6.8066
F 64 115.6 20.2 0.00999 1.394 Cad 3.2016
S 83 123 27.4 0.00801 1.458 Cad 8.9022
S 96 91.9 26.6 0.00522 0.657 Cad 10.2416
S 129 153.9 27.3 0.00847 1.938 Cad 6.1131
S 128 142 26.6 0.00697 4.37 Cad 7.1784
S 100 104.1 27.2 0.00807 1.929 Cad 6.7912
F 52 218.2 23.1 0.00952 6.148 Cad 5.8669
F 97 100.5 23.5 0.01128 1.073 Cad 4.6648
S 132 154.3 28.3 0.00892 2.248 Cad 2.2361
S 177 214 29.8 0.00907 3.615 Cad 5.5109
S 175 198.2 29.3 0.0069 7.02 Cad 7.1021
S 152 134.8 28.3 0.00857 4.684 Cad 6.14
S 214 212.2 31.1 0.0081 7.331 Cad 5.2469
F 209 175 30.4 0.00916 4.353 Cad 7.0456
F 164 141.4 29.4 0.0077 3.691 Cad 6.0083
S 110 137.6 24 0.00859 2.992 Cad 11.2201
S 104 103.7 20.8 0.013 1.551 Cad 9.3477
S 73 91.9 19 0.01288 1.998 Cad 6.5
S 114 78.5 19.7 0.01265 12.769 Cad 3.2202
F 87 81 21.6 0.01268 0.757 Cad 2.184
S 84 97 21.7 0.00838 1.728 Cad 4.4283
S 112 119.1 22.8 0.00896 3.543 Cad 3.1623
S 103 124.6 24.7 0.00977 2.02 Cad 4.5695
S 113 125.3 26.2 0.0098 2.6 Cad 5.022
S 74 55.5 18.3 0.00998 1.847 Cad 2.0248
S 119 127.6 20.5 0.00786 2.28 Cad 4.1049
S 146 144.9 21 0.00659 11.54 Cad 4.982
F 93 159.2 20.2 0.00986 8.893 Cad 3.0364
F 96 65.8 14.7 0.00974 1.331 Ram 6.6611
F 92 77.8 13.6 0.01268 1.248 Ram 7.8549
S 92 91.1 12.9 0.01227 1.518 Ram 4.1869
S 69 72.2 14.5 0.01368 2.105 Ram 7.2277
S 89 81.3 14.9 0.01034 1.524 Ram 4.3909
S 110 98.6 18.4 0.01032 1.849 Ram 3.9395
S 132 114.8 20.6 0.00982 4.694 Ram 2.7203
F 138 166.3 26.5 0.00813 12.191 Ram 4.78539
F 131 169.3 27.4 0.00988 2.264 Ram 1.70294
S 107 128.8 23.3 0.01412 1.807 Ram 2.80713
S 97 116.7 18.5 0.01524 2.629 Ram 2.69258
S 63 65.8 13.2 0.01447 13.93 Ram 9.10055
S 92 106.6 17.6 0.01157 1.813 Ram 4.61411
S 96 91.5 15.6 0.01191 1.895 Ram 5.71402
F 86 110.1 17.4 0.0116 2.067 Ram 4.30116
F 73 105.3 16 0.01001 1.543 Ram 7.00071
S 85 68.6 16.1 0.01134 1.294 Ram 6.02163
S 93 67 19.4 0.00932 1.029 Ram 6.58635
S 51 83.3 19.4 0.0143 1.791 Ram 6.35138
S 59 76.4 21.7 0.01558 1.541 Ram 5.40833
S 100 117.4 27.5 0.01994 3.045 Ram 4.03113
F 82 100 22.1 0.0147 2.097 Ram 3.77359
F 83 122.9 27.1 0.01348 1.613 Ram 2.92062
S 151 182.2 32.4 0.01859 2.264 Ram 3.33017
S 60 93.8 22.7 0.01625 2.055 Ram 7.31095
S 98 144.9 21.7 0.01323 11.024 Ram 3.49285
S 76 97.5 21.3 0.01437 2.076 Ram 3.55106
S 116 144.4 22.5 0.01514 2.175 Ram 2.14709
F 73 118.2 24.3 0.01582 1.807 Ram 4.07922
F 102 128.1 23.1 0.01044 3.243 Ram 4.219
S 115 98 22.3 0.01003 2.865 Ram 5.33667
S 135 138.6 22.1 0.00954 2.346 Ram 3.25576
S 124 144.7 24.4 0.00957 2.784 Ram 3.93954
S 90 82.5 21.6 0.01111 1.974 Ram 5.20096
S 94 66.5 18.6 0.00963 3.542 Ram 5.24023
F 116 66.7 19.3 0.00875 0.855 Ram 2.9
F 87 80.5 22.1 0.00948 0.936 Ram 4.13038
S 56 59.3 16 0.01593 1.739 Ram 7.71038
S 128 86.4 23.6 0.01406 1.977 Ram 7.49533
S 105 104.7 22.6 0.01499 2.472 Ram 4.39318
S 115 153.3 24.1 0.0113 6.935 Ram 5.09902
S 138 165.1 25 0.00962 9.132 Ram 4.38292
F 134 176.7 27.6 0.00963 2.519 Ram 2
F 96 92.8 22.1 0.01076 1.528 Ram 5.51543
S 113 131 23.2 0.00899 2.947 Ram 3.66879
S 73 100 25.8 0.01349 1.513 Ram 4.72017
S 85 92.8 23.5 0.00959 1.275 Ram 6.5192
S 73 93.3 20.4 0.01336 1.293 Ram 3.75899
S 70 113.1 24.3 0.01541 1.867 Ram 2.22036
F 140 208.6 28.8 0.01585 6.357 Ram 3.20624
F 137 190.3 32.8 0.01665 2.097 Ram 0.82462
S 174 209.6 31.1 0.01839 2.469 Ram 2.74591
S 84 170.5 24.7 0.01505 2.04 Ram 4.13401
S 85 91.7 20.1 0.01343 0.943 Ram 4.43847
S 147 133.9 28.5 0.0118 2.161 Ram 0.98489
F 202 143.2 30 0.01441 3.243 Ram 3.33766
F 228 170.2 33.2 0.01517 7.947 Ram 3.40147
S 164 172.9 35.8 0.01307 11.809 Ram 3.98246
S 228 195.7 37.4 0.0152 8.508 Ram 5.4037
S 280 221.6 38 0.01418 9.192 Ram 4.95782
S 227 153.5 35.7 0.0197 2.635 Ram 6.772
S 276 223.5 34.7 0.01937 9.091 Ram 1.70294
F 221 158.7 35.6 0.01503 5.099 Ram 3.11448
F 163 164.7 36.8 0.01194 2.647 Ram 2.23607
S 155 162.6 36.6 0.01354 1.168 Ram 4.70106
S 183 133.8 37.9 0.01344 0.887 Ram 3.80789
S 169 128.6 33 0.01621 2.117 Ram 5.60357
S 175 193.3 29.4 0.01398 18.784 Ram 2.78927
F 140 114.2 24.3 0.01247 22.985 Ram 3.00167
F 169 132.9 27.1 0.01145 8.488 Ram 4.20119
F 146 137 27 0.01655 2.652 Ram 2.97321
S 103 112.6 21.3 0.01676 2.29 Ram 5.31507
S 93 73.1 24.5 0.01273 1.174 Ram 3.18277
F 100 87.4 23.6 0.00895 2.34 Ram 6.00083
S 103 103 21.2 0.01191 1.135 Ram 2.90172
S 79 87.8 12.3 0.00821 2.796 Ram 4.59674
F 97 79.8 14.3 0.00499 2.495 Ram 5.0774
F 99 74.8 14.4 0.0047 1.007 Ram 8.68217
F 90 66.6 13 0.00527 1.603 Ram 5.1614
S 105 74.2 12.8 0.00317 2.825 Ram 2.65707
S 92 80.7 12.9 0.00361 3.764 Ram 5.23927
S 99 87.9 14.2 0.00351 10.349 Ram 6.17738
S 110 97.1 17.5 0.00465 4.27 Ram 8.6885
F 48 58.4 11.9 0.00764 4.477 Ram 5.73149
F 96 96.1 15.2 0.00735 28.383 Ram 3.15753
S 83 86.7 15.8 0.0066 3.169 Ram 3.7
S 78 70 13.8 0.0049 2.492 Ram 5.2469
S 84 110.5 13.2 0.00395 11.161 Ram 0.7
S 84 76.4 16 0.00705 1.666 Ram 5.60803
S 78 85.5 20.1 0.00798 1.695 Ram 5.68507
F 75 74.9 17.6 0.00819 1.171 Ram 6.95701
F 80 64 15.7 0.00772 1.384 Ram 6.21289
S 89 70 13.6 0.0114 1.345 Ram 4.83011
S 95 86.5 16.5 0.00992 1.43 Ram 5.80086
S 98 132.2 23.5 0.0136 2.425 Ram 3.18277
S 127 167.1 28.9 0.01261 2.404 Ram 3.89487
S 134 147.6 30.6 0.01762 2.022 Ram 4.20119
F 77 86.6 24 0.01159 1.165 Ram 4.11096
F 53 84.3 17.6 0.01227 3.009 Ram 4.90918
S 91 75.2 16.1 0.01001 1.175 Ram 4.3382
S 88 112.5 16.7 0.01176 2.394 Ram 1.7
S 99 148.6 19.6 0.00693 3.622 Ram 1.56525
S 120 126.3 24.4 0.00944 1.692 Ram 3.41321
S 93 133.7 21.1 0.00966 1.376 Ram 3.52278
F 70 86.3 20.1 0.00618 0.877 Ram 7.40608
F 64 79.4 16.7 0.00575 1.098 Ram 4.82597
S 46 102.3 16.4 0.01022 3.519 Ram 2.40416
S 93 95.6 19.5 0.00422 15.09 Ram 5.09902
S 104 104.8 20.1 0.0054 7.237 Ram 5.46443
S 141 104.7 20.5 0.0062 8.504 Ram 4.1
F 97 58.6 18.5 0.00417 3.434 Ram 4.5618
F 100 100.2 19 0.00571 13.069 Ram 0.64031
S 90 84.4 19.8 0.00402 2.499 Ram 2.19545
S 70 110.9 15.2 0.00891 2.279 Ram 3.82099
S 83 107.3 22.9 0.00817 1.47 Ram 2.66833
S 67 132.6 26.1 0.01227 3.502 Ram 2.90689
F 95 124.7 28.2 0.01069 8.126 Ram 5.89406
F 142 129.2 29.7 0.00731 8.973 Ram 3.74833
S 134 185.3 31.1 0.01001 3.328 Ram 3.46699
S 145 118.2 26 0.00666 3.43 Ram 4.95782
S 201 209.3 28.7 0.00849 6.605 Ram 1.52643
S 143 165.2 27.8 0.01791 2.766 Ram 3.34215
F 118 147.4 25 0.01172 1.916 Ram 4.41022
F 115 181.7 27.2 0.01342 14.364 Ram 4.38634
S 146 178.1 30.8 0.0121 4.955 Ram 4.30465
S 82 110.1 30.7 0.01563 4.203 Ram 3.48281
S 95 119.2 23.3 0.01142 1.411 Ram 4.56508
S 69 81.8 21.2 0.01054 1.085 Ram 6.43817
S 65 91.9 18.8 0.01035 1.853 Ram 5.60357
F 88 125.4 26 0.00874 1.631 Ram 3.13847
F 90 121.9 28.6 0.00919 1.14 Ram 4.70425
S 78 66.5 16.9 0.00811 1.142 Ram 7.72334
S 60 75.1 18.8 0.00948 1.309 Ram 4.62709
S 65 74.2 18.3 0.00764 1.105 Ram 8.06226
S 74 100.6 18.6 0.00749 1.802 Ram 5.1225
F 102 133.7 19.3 0.00919 3.629 Ram 4.78539
F 125 130.3 24.4 0.00966 2.541 Ram 5.86941
S 134 124.3 26.1 0.00987 2.791 Ram 6.23618
S 129 141.2 26.6 0.00897 3.686 Ram 4.97695
S 171 144.1 26.6 0.01003 2.206 Ram 4.60109
F 191 200.4 27.8 0.00856 3.482 Ram 0.3
S 158 185 30.5 0.01197 2.225 Ram 4.29535
F 104 128.3 29.6 0.00776 2.831 Ram 3.10644
F 167 168.4 29 0.00648 12.671 Ram 2.6
S 103 110.5 19.1 0.01017 1.5 Ram 5.10882
S 75 82.6 19.6 0.0105 1.713 Ram 6.66108
S 48 93.8 22.3 0.01061 1.635 Ram 7.47061
S 81 90 24.2 0.00567 1.132 Ram 6.38905
S 112 134.9 24.5 0.00798 1.956 Ram 2.74591
F 83 151.1 22 0.00788 1.98 Ram 1.87883
F 55 103.1 17.8 0.0121 1.977 Ram 6.00333
S 70 86.7 22.2 0.01068 1.225 Ram 7.9555
S 60 160.7 20.1 0.01211 7.132 Ram 0.76158
S 94 209.9 26.7 0.01332 9.992 Ram 1.41421
S 97 93.3 24.1 0.01385 2.973 Ram 1.74642
S 79 84 19.1 0.01215 2.437 Ram 5.34883
F 87 76.1 18.2 0.00949 0.965 Ram 4.96488
F 63 75.3 18.5 0.01014 1.528 Ram 4.10122
S 66 108.4 18.1 0.01048 3.766 Ram 2.19545
S 114 105.1 21.2 0.01056 2.981 Ram 4.92443
S 68 85.5 23.1 0.00969 1.33 Ram 6.04649
S 88 77.7 21.1 0.00651 1.4 Ram 3.80132
S 38 75.3 22.5 0.00926 1.231 Ram 6.50308
F 84 74.5 20.2 0.00654 2.609 Ram 4.89183
F 94 70.2 20.5 0.00549 1.411 Ram 4.31856
S 80 66 20.4 0.00611 1.549 Ram 4.50444
S 92 109.8 22.3 0.00627 10.21 Ram 2.86531
S 83 121.9 25.1 0.00788 1.367 Ram 3.06105
S 73 63.3 23.9 0.00699 0.919 Ram 6.0803
F 77 73 23.5 0.00612 1.195 Ram 4.30116
F 66 63.6 18.3 0.00786 1.191 Ram 8.96939
S 127 131.3 26.3 0.00685 4.663 Ram 5.0636
S 92 110.1 17.2 0.01118 1.772 Ram 6.48845
F 55 107.8 18.2 0.00875 4.155 Ram 4.998
F 73 62.1 17.4 0.01087 7.597 Ram 5.19711
S 81 100.2 22.2 0.00902 1.545 Ram 9.32952
S 79 81.4 20.1 0.00659 5.142 Ram 4.68722
S 97 114.7 20.9 0.00583 1.614 Ram 5.64004
S 84 83.9 19.9 0.00813 1.616 Ram 7.71298
S 71 86.5 19.5 0.00578 1.463 Ram 4.33244
F 91 112.2 21.7 0.00552 1.834 Ram 0.53852
F 110 140.7 23.9 0.00608 11.722 Ram 1.65529
S 119 169 26.4 0.00699 21.26 Ram 1.6401
S 167 162.7 29.2 0.00722 6.809 Ram 3.8
S 131 168.6 31.2 0.00907 2.883 Ram 4.6043
S 93 134.1 25.2 0.00863 2.182 Ram 1.1662
S 115 119.2 25.3 0.00869 18.084 Ram 3.8588
F 128 122.4 28.3 0.00878 6.638 Ram 4.6011
S 63 89.1 22.2 0.01315 21.335 Ram 1.5
S 83 93.3 21 0.01155 5.685 Ram 1.8868
S 123 136.7 22.2 0.01254 10.535 Ram 0.6325
S 114 115.8 26.5 0.0084 1.814 Ram 2.5495
S 83 92.9 25.5 0.0109 1.388 Ram 3.9408
F 68 79.3 18 0.0101 4.062 Ram 4.6065
F 66 96.8 21.4 0.01014 3.339 Ram 6.2936
S 78 72.5 20.5 0.01263 14.676 Ram 6.3953
S 96 86.2 23.1 0.00861 11.377 Ram 2.816
S 109 116 25.1 0.00649 1.8 Ram 4.6615
S 55 82.5 25.1 0.0092 1.934 Ram 4.826
S 56 60.9 14.6 0.00777 8.655 Ram 5.3712
F 74 59 13.6 0.00665 2.771 Ram 6.2201
S 123 91.3 17.7 0.00583 8.499 Ram 2.4515
S 96 91.2 20.5 0.0051 44.396 Ram 2.5495
S 118 117.1 20.9 0.00441 13.233 Ram 2.4042
S 146 132.9 23.1 0.00593 4.057 Ram 5.14
F 68 70.4 17.5 0.00776 3.339 Ram 4.111
S 70 80.6 16.8 0.0082 5.832 Ram 3.8079
S 61 80.5 20.9 0.00545 2.931 Ram 4.9649
S 67 46.4 15.4 0.00706 3.905 Ram 4.272
S 78 53.9 16 0.00685 6.591 Ram 5.1
F 87 110.9 17.3 0.00943 1.791 Pla 12.7914
F 108 127.3 15.3 0.00867 6.115 Pla 11.2379
S 91 119.2 12.8 0.0097 1.42 Pla 12.9066
S 98 114.5 14.3 0.00895 2.976 Pla 13.507
S 114 133.3 18.7 0.00906 3.48 Pla 11.8596
S 133 147.1 18.9 0.01171 8.173 Pla 7.7621
S 158 186.3 20.4 0.01033 3.747 Pla 4.669
F 121 157.7 19.5 0.00965 0.617 Pla 4.6098
F 103 131.4 18.4 0.01156 0.798 Pla 4.5618
S 126 131.7 18.7 0.01063 0.31 Pla 5.0774
S 118 125.2 17.7 0.01349 0.902 Pla 11.2004
S 103 129.7 13.9 0.01379 0.408 Pla 4.4418
S 78 133.7 10.4 0.01273 2.016 Pla 8.0505
S 104 104.8 13.2 0.00922 2.246 Pla 9.6747
F 105 123.6 11.6 0.01462 1.395 Pla 3.8013
S 80 100.4 19.8 0.00958 1.589 Pla 11.9854
S 125 127.4 18.7 0.01505 0.867 Pla 4.1231
S 161 114.1 21.9 0.01365 1.197 Pla 6.7119
S 130 121.3 21.3 0.01277 0.626 Pla 4.0311
F 119 117.5 21.1 0.01109 0.681 Pla 4.5277
F 129 131.3 22.1 0.00959 0.838 Pla 4.0162
S 168 147.1 22.6 0.01256 0.356 Pla 2
S 237 140 24 0.01047 1.029 Pla 3.8471
S 146 160.2 24.5 0.01228 0.691 Pla 3.5114
S 150 154.8 23.8 0.00937 0.65 Pla 3.3615
S 119 132.4 23.4 0.00742 0.855 Pla 4.6325
F 227 148.7 26.3 0.0151 1.085 Pla 6.0745
F 172 143.8 25.1 0.01611 0.551 Pla 3.9825
S 219 243 25.7 0.0126 6.201 Pla 6.8066
S 142 152.1 25.8 0.00899 2.342 Pla 12.3847
S 157 236.9 24 0.0149 2.543 Pla 5.2479
S 136 127.5 21.2 0.01367 0.451 Pla 5.1225
S 113 117.4 21 0.009 0.697 Pla 18.4114
F 151 134.9 22.2 0.00747 5.036 Pla 8.3355
F 147 151 19.5 0.01163 2.727 Pla 5.9942
S 128 129.3 18.9 0.01332 0.655 Pla 4.3105
S 111 165 21.8 0.01273 6.699 Pla 8.2079
S 111 127.6 17.3 0.01857 0.523 Pla 6.8264
S 100 106 20.8 0.00731 1.174 Pla 15.2201
S 133 108.9 19.6 0.01015 1.586 Pla 5.8052
F 99 108.6 19.8 0.01269 4.202 Pla 9.9464
F 132 165.7 21.6 0.01227 1.808 Pla 4.9244
S 128 129.8 22.6 0.01113 1.449 Pla 6.5
S 142 117.7 22.1 0.01245 0.627 Pla 5.3009
S 127 192.9 21.7 0.01641 5.103 Pla 7.3553
S 127 141.6 24.4 0.01125 5.597 Pla 8.86
S 169 157.8 25.3 0.01137 5.442 Pla 9.3536
F 102 92.3 20.9 0.01127 1.247 Pla 11.4739
S 124 197.7 16.3 0.01798 3.349 Pla 7.5584
S 106 153.6 20.6 0.01508 1.04 Pla 14.1485
S 134 128.7 24.3 0.01084 1.415 Pla 14.4402
S 151 166 22.3 0.01164 2.072 Pla 7.7885
F 158 143.6 23.4 0.01166 0.732 Pla 6.8659
F 126 168.9 22.8 0.01526 0.754 Pla 3.4986
S 130 200.6 27.2 0.00931 7.455 Pla 7.8549
S 170 209 24.1 0.01575 5.133 Pla 5.2773
S 83 84.8 23.1 0.0119 0.439 Pla 19.891
S 112 118.5 21.8 0.01016 0.756 Pla 16.9729
S 140 159.4 20.7 0.01715 0.98 Pla 4.9406
F 121 100.4 21.6 0.01474 0.446 Pla 5.7567
F 125 145.3 21.6 0.01571 1.267 Pla 4.3139
S 182 190.4 19.6 0.02153 1.58 Pla 5.0567
S 112 150.3 20.9 0.01644 4.819 Pla 7.5664
S 153 119.7 24.1 0.01074 1.375 Pla 6.0374
F 150 109.1 25.4 0.01358 0.258 Pla 5.3852
F 174 127.8 25.8 0.014 1.178 Pla 5.5154
S 172 126.5 27.6 0.01133 0.955 Pla 5.5543
S 166 157.2 27.5 0.01431 0.745 Pla 4.9244
S 183 141.5 27.8 0.01136 1.182 Pla 7.3335
S 157 146.6 27.5 0.01796 1.562 Pla 4.8877
S 198 137.5 27 0.01589 0.667 Pla 4.7802
F 184 121.4 27.3 0.01609 0.941 Pla 5.4424
F 162 122.4 26.9 0.01288 0.467 Pla 6.8622
S 164 168.4 27.6 0.01679 0.922 Pla 7.5505
S 162 174.3 28.7 0.01697 1.147 Pla 5.9169
S 175 161 27.6 0.01875 0.858 Pla 6.908
S 228 166 27.3 0.01824 0.85 Pla 6.7067
F 202 181.2 27 0.01685 2.572 Pla 6.2817
F 146 135.1 24.8 0.01507 0.476 Pla 6.1008
F 95 129 23.4 0.02076 0.319 Pla 5.9008
S 115 112.5 24.1 0.01443 1.897 Pla 5.9808
S 141 144.7 26.4 0.01739 3.525 Pla 10.1833
F 166 173.5 18.2 0.00655 0.328 Pla 5.7706
S 128 165 18.8 0.00526 1.58 Pla 7.4095
S 103 123.5 17.1 0.004 3.081 Pla 12.2037
F 106 151.3 14.7 0.00542 0.939 Pla 15.5878
S 114 144.5 15.9 0.00369 7.099 Pla 10.3788
S 113 166 14.4 0.0069 21.348 Pla 1.9647
S 114 169.9 18.2 0.00423 6.401 Pla 5.5009
S 128 162.4 16.3 0.00602 1.465 Pla 11.8309
F 103 158.4 13.8 0.01039 4.17 Pla 7.7698
F 119 139.4 15 0.00607 2.189 Pla 7.642
S 108 131.8 11.5 0.00856 0.959 Pla 3.8079
S 101 143.8 12.4 0.00886 1.007 Pla 7.1694
S 96 131.9 11.8 0.00582 1.105 Pla 17.6867
S 134 178.4 18.5 0.00496 6.697 Pla 7.4108
S 142 160.6 17.1 0.0062 0.608 Pla 5.9464
F 125 148.5 17.2 0.00527 0.4 Pla 6.1074
F 125 164.4 17 0.00597 1.821 Pla 7.7006
S 103 128.5 16.4 0.00548 0.947 Pla 16.8241
S 132 172.6 20.1 0.00784 6.421 Pla 7.3498
S 140 197.8 20.8 0.0107 1.733 Pla 4.9769
S 148 196 21.6 0.01077 1.912 Pla 3.8013
S 174 175.6 21.7 0.00927 1.268 Pla 4.9031
F 183 186.2 20.8 0.00915 1.532 Pla 5.0695
F 134 177.8 21.9 0.01017 1.152 Pla 4.0361
S 109 157.3 23.9 0.01549 1.672 Pla 12.4403
S 135 178 21.2 0.01085 2.109 Pla 5.3226
S 150 200.1 18.9 0.01176 0.999 Pla 2.4
S 152 184.6 18.2 0.01271 0.784 Pla 2.9833
S 146 211.4 21.8 0.01076 1.574 Pla 3.8601
F 125 183.7 22.4 0.00451 3.402 Pla 10.7005
F 106 127 21.7 0.00384 1.233 Pla 14.7922
S 73 126.1 21.5 0.00563 0.868 Pla 16.4268
S 112 134.8 14.6 0.00697 1.123 Pla 5.5866
S 141 198.4 15.8 0.00667 2.633 Pla 7.0178
S 130 143.2 14.5 0.00615 1.114 Pla 6.6483
F 101 158.8 15.2 0.00808 0.716 Pla 6.5765
F 110 159.2 16.2 0.00693 0.357 Pla 6.8154
S 117 160.3 18.6 0.00866 1.532 Pla 8.3487
S 123 202 21.7 0.00779 3.989 Pla 8.5913
